Date : 2024-04-01 15:18:30
Directory : c:\xampp\htdocs\CLAU
Total : 225 files,  20481 codes, 3348 comments, 3073 blanks, all 26902 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |        152 |     16,865 |      3,225 |      2,689 |     22,779 |
| JSON       |         10 |      1,393 |          0 |          9 |      1,402 |
| CSS        |          9 |      1,297 |         36 |        163 |      1,496 |
| SQL        |          2 |        315 |         72 |         94 |        481 |
| Markdown   |          8 |        228 |          0 |         43 |        271 |
| XML        |         35 |        161 |          1 |         27 |        189 |
| JavaScript |          8 |        155 |         14 |         35 |        204 |
| HTML       |          1 |         67 |          0 |         13 |         80 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |        225 |     20,481 |      3,348 |      3,073 |     26,902 |
| . (Files)                                                                                        |          1 |          2 |          0 |          1 |          3 |
| SITE                                                                                             |        224 |     20,479 |      3,348 |      3,072 |     26,899 |
| SITE (Files)                                                                                     |          7 |      1,016 |         82 |        121 |      1,219 |
| SITE\.VSCodeCounter                                                                              |          5 |        190 |          0 |         26 |        216 |
| SITE\.VSCodeCounter\2024-03-05_08-52-25                                                          |          5 |        190 |          0 |         26 |        216 |
| SITE\ICON                                                                                        |         33 |        159 |          1 |         27 |        187 |
| SITE\JS                                                                                          |          7 |        128 |         11 |         30 |        169 |
| SITE\PAGES                                                                                       |         53 |      8,102 |        345 |      1,318 |      9,765 |
| SITE\PHP                                                                                         |         24 |      1,978 |        114 |        312 |      2,404 |
| SITE\PHP (Files)                                                                                 |         16 |      1,013 |        104 |        210 |      1,327 |
| SITE\PHP\sidebar                                                                                 |          8 |        965 |         10 |        102 |      1,077 |
| SITE\PHP\sidebar (Files)                                                                         |          6 |        963 |         10 |        102 |      1,075 |
| SITE\PHP\sidebar\image                                                                           |          2 |          2 |          0 |          0 |          2 |
| SITE\STYLE                                                                                       |          8 |      1,047 |         36 |        152 |      1,235 |
| SITE\vendor                                                                                      |         87 |      7,859 |      2,759 |      1,086 |     11,704 |
| SITE\vendor (Files)                                                                              |          1 |         20 |          1 |          5 |         26 |
| SITE\vendor\composer                                                                             |         11 |      1,287 |        378 |        152 |      1,817 |
| SITE\vendor\graham-campbell                                                                      |          4 |        118 |        193 |         36 |        347 |
| SITE\vendor\graham-campbell\result-type                                                          |          4 |        118 |        193 |         36 |        347 |
| SITE\vendor\graham-campbell\result-type (Files)                                                  |          1 |         33 |          0 |          1 |         34 |
| SITE\vendor\graham-campbell\result-type\src                                                      |          3 |         85 |        193 |         35 |        313 |
| SITE\vendor\phpoption                                                                            |          5 |        437 |        412 |        122 |        971 |
| SITE\vendor\phpoption\phpoption                                                                  |          5 |        437 |        412 |        122 |        971 |
| SITE\vendor\phpoption\phpoption (Files)                                                          |          1 |         52 |          0 |          1 |         53 |
| SITE\vendor\phpoption\phpoption\src                                                              |          4 |        385 |        412 |        121 |        918 |
| SITE\vendor\phpoption\phpoption\src\PhpOption                                                    |          4 |        385 |        412 |        121 |        918 |
| SITE\vendor\symfony                                                                              |         24 |      4,486 |        323 |        320 |      5,129 |
| SITE\vendor\symfony\polyfill-ctype                                                               |          5 |        195 |        143 |         45 |        383 |
| SITE\vendor\symfony\polyfill-mbstring                                                            |          9 |      4,023 |         82 |        210 |      4,315 |
| SITE\vendor\symfony\polyfill-mbstring (Files)                                                    |          5 |      1,019 |         81 |        201 |      1,301 |
| SITE\vendor\symfony\polyfill-mbstring\Resources                                                  |          4 |      3,004 |          1 |          9 |      3,014 |
| SITE\vendor\symfony\polyfill-mbstring\Resources\unidata                                          |          4 |      3,004 |          1 |          9 |      3,014 |
| SITE\vendor\symfony\polyfill-php80                                                               |         10 |        268 |         98 |         65 |        431 |
| SITE\vendor\symfony\polyfill-php80 (Files)                                                       |          5 |        225 |         54 |         48 |        327 |
| SITE\vendor\symfony\polyfill-php80\Resources                                                     |          5 |         43 |         44 |         17 |        104 |
| SITE\vendor\symfony\polyfill-php80\Resources\stubs                                               |          5 |         43 |         44 |         17 |        104 |
| SITE\vendor\vlucas                                                                               |         42 |      1,511 |      1,452 |        451 |      3,414 |
| SITE\vendor\vlucas\phpdotenv                                                                     |         42 |      1,511 |      1,452 |        451 |      3,414 |
| SITE\vendor\vlucas\phpdotenv (Files)                                                             |          1 |         60 |          0 |          1 |         61 |
| SITE\vendor\vlucas\phpdotenv\src                                                                 |         41 |      1,451 |      1,452 |        450 |      3,353 |
| SITE\vendor\vlucas\phpdotenv\src (Files)                                                         |          2 |        206 |        220 |         52 |        478 |
| SITE\vendor\vlucas\phpdotenv\src\Exception                                                       |          5 |         35 |          5 |         25 |         65 |
| SITE\vendor\vlucas\phpdotenv\src\Loader                                                          |          3 |         69 |         46 |         20 |        135 |
| SITE\vendor\vlucas\phpdotenv\src\Parser                                                          |          7 |        347 |        277 |         87 |        711 |
| SITE\vendor\vlucas\phpdotenv\src\Repository                                                      |         16 |        555 |        610 |        189 |      1,354 |
| SITE\vendor\vlucas\phpdotenv\src\Repository (Files)                                              |          3 |        181 |        197 |         55 |        433 |
| SITE\vendor\vlucas\phpdotenv\src\Repository\Adapter                                              |         13 |        374 |        413 |        134 |        921 |
| SITE\vendor\vlucas\phpdotenv\src\Store                                                           |          6 |        157 |        185 |         56 |        398 |
| SITE\vendor\vlucas\phpdotenv\src\Store (Files)                                                   |          4 |        103 |        129 |         39 |        271 |
| SITE\vendor\vlucas\phpdotenv\src\Store\File                                                      |          2 |         54 |         56 |         17 |        127 |
| SITE\vendor\vlucas\phpdotenv\src\Util                                                            |          2 |         82 |        109 |         21 |        212 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                         | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\CLAU\README.md                                                                   | Markdown   |          2 |          0 |          1 |          3 |
| c:\xampp\htdocs\CLAU\SITE\.VSCodeCounter\2024-03-05_08-52-25\details.md                          | Markdown   |        139 |          0 |          6 |        145 |
| c:\xampp\htdocs\CLAU\SITE\.VSCodeCounter\2024-03-05_08-52-25\diff-details.md                     | Markdown   |          9 |          0 |          6 |         15 |
| c:\xampp\htdocs\CLAU\SITE\.VSCodeCounter\2024-03-05_08-52-25\diff.md                             | Markdown   |         12 |          0 |          7 |         19 |
