"filename", "language", "CSS", "PHP", "JavaScript", "XML", "HTML", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\CLAU\SITE\CLAU.sql", "SQL", 0, 0, 0, 0, 0, 259, 71, 48, 378
"c:\xampp\htdocs\CLAU\SITE\ICON\C.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 9
"c:\xampp\htdocs\CLAU\SITE\ICON\Facebook.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\Instagram.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 1, 19
"c:\xampp\htdocs\CLAU\SITE\ICON\Linkedin.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\xampp\htdocs\CLAU\SITE\ICON\aluno.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\cadastro_aluno.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\cadastro_curso.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\cadastro_funcionario.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\cadastro_professor.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\cadastro_turma.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\calendario.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\chamada.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\coordenacao.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\cursos.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\diretor.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\endereco.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\xampp\htdocs\CLAU\SITE\ICON\eye-off.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\xampp\htdocs\CLAU\SITE\ICON\eye.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\fale.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\funcionario.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\grade.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\CLAU\SITE\ICON\home.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\CLAU\SITE\ICON\insta.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
